Title,URL,Type,Description
"Chariot Solutions Announces Key Leadership Appointments: Sujan Kapadia Named Chief AI Officer",https://chariotsolutions.com/news/post/chariot-solutions-announces-key-leadership-appointments/,News,"Announcement of Sujan Kapadia's appointment as Chief AI Officer - August 11, 2025"
"15 Minutes With: Sujan Kapadia",https://chariotsolutions.com/blog/post/15-minutes-with-sujan-kapadia/,Blog/Interview,"First episode discussing remote team effectiveness with focus on human elements"
"Chariot Solutions in 2025: AI, Modernization, and the Evolving Role of Technologists",https://chariotsolutions.com/blog/post/chariot-solutions-in-2025/,Blog,"Reflection on 2025 acceleration in AI tools and organizational approaches"
"Event Recap: What Does It Mean to Be a Developer in the Age of AI Agents?",https://chariotsolutions.com/blog/post/event-recap-what-does-it-mean-to-be-a-developer-in-the-age-of-ai-agents/,Blog,"Panel discussion on evolving developer roles - October 15, 2025"
"Adding Conversational AI to Your App — Part 2: Adding Conversation History to the Context",https://chariotsolutions.com/blog/post/adding-conversational-ai-to-your-app-part-2-adding-conversation-history-to-the-context/,Blog,"Technical guide on implementing conversation history in LLM tools"
"Adding Conversational AI to Your App — Part 1: Converting Natural Language into JSON Actions",https://chariotsolutions.com/blog/post/adding-conversational-ai-to-your-app-part-1-converting-natural-language-into-json-actions/,Blog,"Building a natural language interface for a text-based to-do app using TypeScript, Node, and OpenAI"
"Automate the Boring Stuff with AI",https://chariotsolutions.com/blog/post/automate-the-boring-stuff-with-ai-2/,Blog,"Project created to deepen understanding of generative AI while addressing workflow gaps"
"Strategies for Addressing Tech Debt",https://chariotsolutions.com/blog/post/strategies-for-addressing-tech-debt/,Blog,"Businesses should approach technical debt as a routine, scheduled part of development"
"A Look Back to Philly ETE 2022",https://chariotsolutions.com/blog/post/a-look-back-to-philly-ete-2022/,Blog,"Killer keynote by Cory Doctorow, lively audience, and lots of new tech at Philly ETE 2022"
"A Look Back to ETE 2021",https://chariotsolutions.com/blog/post/a-look-back-to-ete-2021/,Blog,"Reflecting on another successful year of Philly ETE - logistics, community, and virtual benefits"
"Another Perspective on Remote Work",https://chariotsolutions.com/blog/post/another-perspective-on-remote-work/,Blog,"Flexibility for consultants in terms of where they work is good for business and clients"
"Discussion on the Future of Tech in 2020 and Beyond",https://chariotsolutions.com/blog/post/discussion-on-the-future-of-tech-in-2020-and-beyond-by-the-chariot-solutions-team/,Blog,"Team perspective on tools and technologies for 2020 onward"
"What is on our Tech Radar for 2019?",https://chariotsolutions.com/blog/post/what-is-on-our-tech-radar-for-2019/,Blog,"Team members discuss technologies of interest for 2019"
"The DataPhilly Meetups",https://chariotsolutions.com/blog/post/the-dataphilly-meetups/,Blog,"DataPhilly talks expose you to topics you don't encounter everyday"
"Converting a Java Spring application to Scala",https://chariotsolutions.com/blog/post/converting-java-spring-to-scala/,Blog,"Programming approaches for Spring applications in Scala"
"Simply explained: Akka Streams Backpressure",https://chariotsolutions.com/blog/post/simply-explained-akka-streams-backpressure/,Blog,"Tutorial demonstrating backpressure in Akka Streams using a doughnut factory analogy - August 2, 2016"
"Sujan Kapadia - Staff Profile",https://chariotsolutions.com/about/sujan-kapadia/,Profile,"Chief AI Officer - Over two decades of experience delivering complex, high-impact solutions"
"AMFP Greater Philadelphia Second Annual Healthcare Summit",https://chariotsolutions.com/news/post/amfp_greater_philadelphia_second_annual_healthcare_summit/,News,"Panel on Unlocking the Future of Healthcare With AI - September 25, 2024"
"Bridging the Gap: Empowering Healthcare Innovation with Powerful AI Solutions",https://chariotsolutions.com/presentation/bridging-the-gap-empowering-healthcare-innovation-with-powerful-ai-solutions/,Presentation,"Session bridging healthcare professionals and software developers for AI - May 17"
"AI Agents Webinar: Control, Governance, and Accountability",https://chariotsolutions.com/event/ai-agents-webinar-control-governance-and-accountability/,Event,"Session on governing AI agents, mitigating risk, and operationalizing AI"
"What Does It Mean to Be a Developer in the Age of AI Agents?",https://chariotsolutions.com/event/what-does-it-mean-to-be-a-developer-in-the-age-of-ai-agents/,Event,"Explores developer role transformation with AI coding agents"
"Unleashing AI in Marketing: Strategies to Transform Your Business",https://chariotsolutions.com/event/unleashing-ai-in-marketing-strategies-to-transform-your-business/,Event,"Webinar on AI applications in marketing"
"Webinar — AI in Healthcare",https://chariotsolutions.com/event/webinar-ai-in-healthcare/,Event,"Healthcare and software experts discuss AI in healthcare"
"ETE Screencast Night",https://chariotsolutions.com/event/video-watching-meetup/,Event,"Sujan organized evening watching conference talks - October 26"
"Intro to Scala – Fear No More",https://chariotsolutions.com/event/intro-scala-fear-no/,Event/Training,"Trainer: Sujan Kapadia - July 20, 2016 - New York"
"Intro to Scala at Philly Tech Week",https://chariotsolutions.com/event/intro-scala-philly-tech-week/,Event/Training,"Introductory workshop covering Scala fundamentals"
"TechChat Tuesdays #62: Spring Boot 3.1.0 with DaShaun Carter",https://chariotsolutions.com/podcast/techchat-tuesdays-62-spring-boot-3-1-0-with-dashaun-carter/,Podcast,"Spring Boot 3.1.0, scaling to zero, cloud native buildpacks - 52:55"
