Title,URL,Type,Description,Date
"Chariot Solutions Announces Key Leadership Appointments: Sujan Kapadia Named Chief AI Officer, Rod Biresch Promoted to Director of Engineering",https://chariotsolutions.com/news/post/chariot-solutions-announces-key-leadership-appointments/,News,"FOR IMMEDIATE RELEASE Wyncote, PA — Monday, August 11, 2025 — Chariot Solutions, a leader in software development and innovative technology consulting, is pleased to announce two major leadership appointments designed to drive the company’s next phase of growth and innovation. Sujan Kapadia has been named Chief AI Officer, a newly created role, and Rod … Read More",none
TechChat Tuesdays #18: Dev News with Sujan Kapadia,https://chariotsolutions.com/podcast/techchat-tuesdays-18-dev-news-with-sujan-kapadia/,Podcast,,2020-11-12
15 Minutes With: Sujan Kapadia,https://chariotsolutions.com/blog/post/15-minutes-with-sujan-kapadia/,Blog,"In the first episode of 15 Minutes With, Tracey Welson-Rossman and Sujan Kapadia discuss ideas to help remote teams work more effectively, while focusing on the human side of things.",2020-04-01
TechCast #79 – Chariot’s Sujan Kapadia and Ken Rimple talk about OSCON 2013,https://chariotsolutions.com/podcast/techcast-79-chariots-sujan-kapadia-and-ken-rimple-talk-about-oscon-2013/,Podcast,,2013-07-26
"AI Agents Webinar: Control, Governance, and Accountability",https://chariotsolutions.com/event/ai-agents-webinar-control-governance-and-accountability/,Event,"In this fast-evolving era of generative AI and autonomous agents, organizations face a dual challenge: harnessing the power of intelligent systems while maintaining control, accountability, and trust. This session brings together cybersecurity leadership, AI expertise, and industry experience to explore practical frameworks for governing AI agents, mitigating AI risk, and operationalizing AI with confidence. Our … Read More",none
"Chariot Solutions in 2025: AI, Modernization, and the Evolving Role of Technologists",https://chariotsolutions.com/blog/post/chariot-solutions-in-2025/,Blog,"2025 was a year of acceleration—not just in tools, but in how organizations think about building, shipping, and sustaining software. At Chariot Solutions, our blog reflected the questions we were hearing most often from clients, partners, and the broader technology community: How do we move from experimenting with AI to using it responsibly on a … Read More",2025-12-29
Event Recap: What Does It Mean to Be a Developer in the Age of AI Agents?,https://chariotsolutions.com/blog/post/event-recap-what-does-it-mean-to-be-a-developer-in-the-age-of-ai-agents/,Blog,"What Does It Mean to Be a Developer in the Age of AI Agents? October 15, 2025, Philadelphia, PA At a recent Chariot Solutions panel discussion hosted at Certara (thanks Martin Snyder!), technology leaders gathered to explore one of the most pressing questions facing the software industry today: how is the developer’s role evolving as … Read More",2025-10-17
What Does It Mean to Be a Developer in the Age of AI Agents?,https://chariotsolutions.com/event/what-does-it-mean-to-be-a-developer-in-the-age-of-ai-agents/,Event,"What Does It Mean to Be a Developer in the Age of AI Agents? AI coding agents and IDE-integrated assistants are poised to reshape how we build software. As these tools become more sophisticated and widely adopted, developers and technical leaders face critical questions about the future of the profession. Will AI replace certain types … Read More",none
Adding Conversational AI to Your App — Part 2: Adding Conversation History to the Context,https://chariotsolutions.com/blog/post/adding-conversational-ai-to-your-app-part-2-adding-conversation-history-to-the-context/,Blog,"Tool Limitations In Part 1, we went over converting natural language requests into commands, using LLMs. That’s a nice improvement from having to enter slash commands, but the current tool still has two major limitations: No flexible editing: There’s no way to update or delete an existing item using natural language. When referring to a … Read More",2025-08-26
Adding Conversational AI to Your App — Part 1: Converting Natural Language into JSON Actions,https://chariotsolutions.com/blog/post/adding-conversational-ai-to-your-app-part-1-converting-natural-language-into-json-actions/,Blog,"What We’re Building When I recently paired with Claude Code to build a text-based to-do app (code available on Github, disclaimer: mostly generated by Claude), I wanted to add a simple natural language interface. In this post, we’ll build that feature using TypeScript, Node, and an OpenAI model, without using any special frameworks that might … Read More",2025-08-14
Automate the Boring Stuff with AI,https://chariotsolutions.com/blog/post/automate-the-boring-stuff-with-ai-2/,Blog,"My motivation for creating tools often stems from a desire to get familiar with new technologies. This project was no different; I wanted to deepen my understanding of Generative AI. However, this wasn’t the primary reason for its creation. The real driving force was a persistent gap in my workflow that I couldn’t ignore any … Read More",2025-02-24
